weight-(g),wingspan-(cm),species
12514.218841394382,283.2473534748252,-1
12221.179669221401,291.9864170172316,-1
10929.956669431707,290.3332089205909,-1
11810.504169176824,294.760519639116,-1
12255.001444273381,278.71378733412445,-1
11541.973014497376,270.5541228927477,-1
12435.163488122893,291.4270916534818,-1
11416.404949677335,283.64427350084867,-1
12816.84707168578,272.2102465260624,-1
12672.720805709661,284.5180701098506,-1
11895.588856609373,270.9346543873001,-1
11468.71962314809,313.7925640763485,-1
13029.732685133346,300.4008598777488,-1
11561.864377295582,260.628781486882,-1
10881.681753744564,287.9779803201501,-1
13618.98166067526,266.8907596317108,-1
13541.605174513406,320.7007095272321,-1
11748.120860786787,269.04500982570073,-1
11157.564261748703,273.5424202304027,-1
12184.518690563942,286.4193069602798,-1
12937.082201108953,268.56399652327565,-1
12731.000343834809,304.2350716475789,-1
13361.556125145331,289.709036210563,-1
11673.761940797698,303.4189655864002,-1
12055.676014854776,301.3953967977531,-1
12222.399608555304,267.53419428375247,-1
10556.783004774663,272.09171034812096,-1
11243.647694405565,309.44393879598584,-1
12816.454011019287,304.28413439122835,-1
12750.444761534178,271.74118804038477,-1
11544.053072531999,287.6410224893729,-1
13189.622268029125,267.3862225960342,-1
10309.383173616396,291.6182619620992,-1
10643.600951138687,301.2058348264872,-1
10767.565486085074,296.44514653793914,-1
11455.560838327536,268.7743561872121,-1
11331.828263186573,280.3886011548414,-1
12007.314563228903,301.69439455495547,-1
11387.061264521837,283.42818625476735,-1
13299.748074755309,321.12189751919846,-1
10266.90437634672,284.85053476726296,-1
11016.68990087037,280.75055942475205,-1
12357.507753167365,301.4477546908999,-1
10386.421497177824,292.89375787734957,-1
13470.713866612128,284.77311604021446,-1
10811.98240268228,324.4798091107051,-1
11450.25380646451,287.52185671038905,-1
11059.953838455232,296.99449052535783,-1
11172.067635634128,294.04980857946634,-1
12108.86346783368,285.20253429322867,-1
12507.80959049232,272.7838760018512,-1
11137.772653489521,315.5543598218106,-1
13249.469742726978,279.1677384491637,-1
11920.3887540826,306.40529974488084,-1
11110.268518734967,286.55723370140066,-1
11118.201610516982,289.86652005061836,-1
12018.63894948806,281.85202987389243,-1
12237.844621923621,301.2959328153797,-1
12013.548548628612,265.8584165574057,-1
10364.470600619177,319.14893395150995,-1
10955.790122290684,268.28845831520624,-1
12613.038881687546,291.9537268302905,-1
12736.205213323823,304.2404129699148,-1
13026.92143939979,259.7721692431621,-1
10567.809388941074,288.8068911959883,-1
10158.811699813283,294.515741956821,-1
12366.093226167304,264.7265005747223,-1
11668.22286494719,293.33586214168173,-1
11310.782021910247,279.72617397129153,-1
14034.607561504934,288.1069822442963,-1
11449.285588085408,319.85410474631135,-1
12750.453330326842,297.8449670678113,-1
10693.00766091918,289.7548189586377,-1
12580.573335794274,283.76275496239026,-1
10895.476907337707,269.622455948603,-1
12690.121470224707,282.2835516294682,-1
12686.890066138405,286.7590981999511,-1
10433.31247042161,296.33570330632966,-1
12904.974121466681,273.58935603451647,-1
12778.822399323068,308.5536182778534,-1
12428.232870596741,286.5457298235934,-1
12108.871989897914,279.43372700397464,-1
12028.283634823074,281.1293731837224,-1
11421.174175209011,301.0549275352732,-1
10800.54880080607,296.53800878772364,-1
10294.04799426183,316.6399037826015,-1
12369.163957107006,297.69611568259467,-1
13876.573426962166,307.5579047442221,-1
11623.096649831024,321.16568348375307,-1
13831.936081825535,283.1611697117897,-1
12003.017434031213,299.73759390882026,-1
11923.976534275376,287.3782766832275,-1
12003.9575939876,305.2589651487675,-1
11814.985889102885,281.000254327267,-1
9512.848464777231,313.6425008647881,-1
